reading,rainfall,fire_name,county
8/21/99,0,BigBarComplex,Trinity
8/22/99,0,BigBarComplex,Trinity
8/23/99,0,BigBarComplex,Trinity
8/24/99,0,BigBarComplex,Trinity
8/25/99,0,BigBarComplex,Trinity
8/26/99,0,BigBarComplex,Trinity
8/27/99,0,BigBarComplex,Trinity
8/28/99,0,BigBarComplex,Trinity
8/29/99,0,BigBarComplex,Trinity
8/30/99,0.05,BigBarComplex,Trinity
8/31/99,0,BigBarComplex,Trinity
9/1/99,0,BigBarComplex,Trinity
9/2/99,0,BigBarComplex,Trinity
9/3/99,0,BigBarComplex,Trinity
9/4/99,0,BigBarComplex,Trinity
9/5/99,0,BigBarComplex,Trinity
9/6/99,0,BigBarComplex,Trinity
9/7/99,0,BigBarComplex,Trinity
9/8/99,0,BigBarComplex,Trinity
9/9/99,0,BigBarComplex,Trinity
9/10/99,0.04,BigBarComplex,Trinity
9/11/99,0,BigBarComplex,Trinity
9/12/99,0,BigBarComplex,Trinity
9/13/99,0,BigBarComplex,Trinity
9/14/99,0,BigBarComplex,Trinity
9/15/99,0,BigBarComplex,Trinity
9/16/99,0,BigBarComplex,Trinity
9/17/99,0,BigBarComplex,Trinity
9/18/99,0,BigBarComplex,Trinity
9/19/99,0,BigBarComplex,Trinity
9/20/99,0,BigBarComplex,Trinity
9/21/99,0,BigBarComplex,Trinity
9/22/99,0,BigBarComplex,Trinity
9/23/99,0,BigBarComplex,Trinity
9/24/99,0,BigBarComplex,Trinity
9/25/99,0,BigBarComplex,Trinity
9/26/99,0,BigBarComplex,Trinity
9/27/99,0,BigBarComplex,Trinity
9/28/99,0,BigBarComplex,Trinity
9/29/99,0,BigBarComplex,Trinity
9/30/99,0,BigBarComplex,Trinity
6/1/01,0,McNally,Tulare
6/2/01,0,McNally,Tulare
6/3/01,0,McNally,Tulare
6/4/01,0,McNally,Tulare
6/5/01,0,McNally,Tulare
6/6/01,0,McNally,Tulare
6/7/01,0,McNally,Tulare
6/8/01,0,McNally,Tulare
6/9/01,0,McNally,Tulare
6/10/01,0,McNally,Tulare
6/11/01,0,McNally,Tulare
6/12/01,0,McNally,Tulare
6/13/01,0,McNally,Tulare
6/14/01,0,McNally,Tulare
6/15/01,0,McNally,Tulare
6/16/01,0,McNally,Tulare
6/17/01,0,McNally,Tulare
6/18/01,0,McNally,Tulare
6/19/01,0,McNally,Tulare
6/20/01,0,McNally,Tulare
6/21/01,0,McNally,Tulare
6/22/01,0,McNally,Tulare
6/23/01,0,McNally,Tulare
6/24/01,0,McNally,Tulare
6/25/01,0,McNally,Tulare
6/26/01,0,McNally,Tulare
6/27/01,0,McNally,Tulare
6/28/01,0,McNally,Tulare
6/29/01,0,McNally,Tulare
6/30/01,0,McNally,Tulare
7/1/01,0,McNally,Tulare
7/2/01,0,McNally,Tulare
7/3/01,0,McNally,Tulare
7/4/01,0,McNally,Tulare
7/5/01,0,McNally,Tulare
7/6/01,0.25,McNally,Tulare
7/7/01,0,McNally,Tulare
7/8/01,0,McNally,Tulare
7/9/01,0,McNally,Tulare
7/10/01,0,McNally,Tulare
7/11/01,0,McNally,Tulare
7/12/01,0,McNally,Tulare
7/13/01,0,McNally,Tulare
7/14/01,0,McNally,Tulare
7/15/01,0,McNally,Tulare
7/16/01,0,McNally,Tulare
7/17/01,0,McNally,Tulare
7/18/01,0,McNally,Tulare
7/19/01,0,McNally,Tulare
7/20/01,0,McNally,Tulare
7/21/01,0,McNally,Tulare
7/22/01,0,McNally,Tulare
7/23/01,0,McNally,Tulare
7/24/01,0,McNally,Tulare
7/25/01,0,McNally,Tulare
7/26/01,0,McNally,Tulare
7/27/01,0,McNally,Tulare
7/28/01,0,McNally,Tulare
7/29/01,0,McNally,Tulare
7/30/01,0,McNally,Tulare
7/31/01,0,McNally,Tulare
8/1/01,0,McNally,Tulare
8/2/01,0,McNally,Tulare
