reading,rainfall,fire_name,county
9/20/1998,0.00,BigBarComplex,Trinity
9/21/1998,0.00,BigBarComplex,Trinity
9/22/1998,0.00,BigBarComplex,Trinity
9/23/1998,0.00,BigBarComplex,Trinity
9/24/1998,0.01,BigBarComplex,Trinity
9/25/1998,0.00,BigBarComplex,Trinity
9/26/1998,0.00,BigBarComplex,Trinity
9/27/1998,0.00,BigBarComplex,Trinity
9/28/1998,0.33,BigBarComplex,Trinity
9/29/1998,0.01,BigBarComplex,Trinity
9/30/1998,0.00,BigBarComplex,Trinity
10/1/1998,0.00,BigBarComplex,Trinity
10/2/1998,0.02,BigBarComplex,Trinity
10/3/1998,0.00,BigBarComplex,Trinity
10/4/1998,0.00,BigBarComplex,Trinity
10/5/1998,0.00,BigBarComplex,Trinity
10/6/1998,0.00,BigBarComplex,Trinity
10/7/1998,0.00,BigBarComplex,Trinity
10/8/1998,0.04,BigBarComplex,Trinity
10/9/1998,0.00,BigBarComplex,Trinity
10/10/1998,0.00,BigBarComplex,Trinity
10/11/1998,0.00,BigBarComplex,Trinity
10/12/1998,0.00,BigBarComplex,Trinity
10/13/1998,0.40,BigBarComplex,Trinity
10/14/1998,0.00,BigBarComplex,Trinity
10/15/1998,0.00,BigBarComplex,Trinity
10/16/1998,0.00,BigBarComplex,Trinity
10/17/1998,0.00,BigBarComplex,Trinity
10/18/1998,0.00,BigBarComplex,Trinity
10/19/1998,0.00,BigBarComplex,Trinity
10/20/1998,0.00,BigBarComplex,Trinity
10/21/1998,0.00,BigBarComplex,Trinity
10/22/1998,0.00,BigBarComplex,Trinity
10/23/1998,0.00,BigBarComplex,Trinity
10/24/1998,0.85,BigBarComplex,Trinity
10/25/1998,0.38,BigBarComplex,Trinity
10/26/1998,0.01,BigBarComplex,Trinity
10/27/1998,0.00,BigBarComplex,Trinity
10/28/1998,0.01,BigBarComplex,Trinity
10/29/1998,0.00,BigBarComplex,Trinity
10/30/1998,0.00,BigBarComplex,Trinity
10/31/1998,0.00,BigBarComplex,Trinity
11/1/1998,0.36,BigBarComplex,Trinity
11/2/1998,0.00,BigBarComplex,Trinity
11/3/1998,0.09,BigBarComplex,Trinity
11/4/1998,0.02,BigBarComplex,Trinity
11/5/1998,0.16,BigBarComplex,Trinity
11/6/1998,0.23,BigBarComplex,Trinity
11/7/1998,0.67,BigBarComplex,Trinity
11/8/1998,0.40,BigBarComplex,Trinity
11/9/1998,0.01,BigBarComplex,Trinity
11/10/1998,0.16,BigBarComplex,Trinity
11/11/1998,0.38,BigBarComplex,Trinity
11/12/1998,0.05,BigBarComplex,Trinity
11/13/1998,0.00,BigBarComplex,Trinity
11/14/1998,0.00,BigBarComplex,Trinity
11/15/1998,0.05,BigBarComplex,Trinity
11/16/1998,0.01,BigBarComplex,Trinity
11/17/1998,0.64,BigBarComplex,Trinity
11/18/1998,0.00,BigBarComplex,Trinity
11/19/1998,0.00,BigBarComplex,Trinity
11/20/1998,0.00,BigBarComplex,Trinity
11/21/1998,1.00,BigBarComplex,Trinity
11/22/1998,1.80,BigBarComplex,Trinity
11/23/1998,1.00,BigBarComplex,Trinity
11/24/1998,1.25,BigBarComplex,Trinity
